"","Taxa","GenePair","sum","total_n"
"457","A_New_York_1028_2006","HA-PB2",6,3
"458","A_New_York_1028_2006","M-NA",6,5
"459","A_New_York_1028_2006","M-PA",6,3
"460","A_New_York_1028_2006","M-PB1",6,5
"461","A_New_York_1028_2006","NA-PA",6,3
"462","A_New_York_1028_2006","NA-PB2",6,3
"463","A_New_York_13_2003","PA-PB1",6,3
"464","A_New_York_18_2003","PA-PB1",6,3
"465","A_New_York_272_2003","PA-PB1",6,3
"466","A_New_York_30_2003","HA-NA",6,3
"467","A_New_York_30_2003","HA-PA",6,12
"468","A_New_York_30_2003","M-PA",6,12
"469","A_New_York_30_2003","NA-NP",6,3
"470","A_New_York_30_2003","NA-PA",6,3
"471","A_New_York_30_2003","NA-PB1",6,3
"472","A_New_York_30_2003","NA-PB2",6,3
"473","A_New_York_30_2003","NP-PA",6,6
"474","A_New_York_30_2003","NS-PA",6,5
"475","A_New_York_30_2003","PA-PB1",6,6
"476","A_New_York_30_2003","PA-PB2",6,6
"477","A_New_York_33_2004","PA-PB1",6,3
"478","A_New_York_35_2003","PA-PB1",6,3
"479","A_New_York_366_2004","HA-NA",6,3
"480","A_New_York_372_2004","HA-NA",6,3
"481","A_New_York_373_2005","HA-NA",6,3
"482","A_New_York_373_2005","M-NA",6,4
"483","A_New_York_373_2005","NA-PA",6,3
"484","A_New_York_373_2005","NA-PB2",6,4
"485","A_New_York_37_2003","PA-PB1",6,3
"486","A_New_York_4_2003","HA-NA",6,3
"487","A_New_York_4_2003","HA-PA",6,12
"488","A_New_York_4_2003","M-PA",6,9
"489","A_New_York_4_2003","NA-NP",6,3
"490","A_New_York_4_2003","NA-PB1",6,3
"491","A_New_York_4_2003","NA-PB2",6,3
"492","A_New_York_4_2003","NP-PA",6,6
"493","A_New_York_4_2003","NS-PA",6,5
"494","A_New_York_4_2003","PA-PB1",6,6
"495","A_New_York_4_2003","PA-PB2",6,6
"496","A_New_York_54_2003","PA-PB1",6,3
"497","A_New_York_900_2004","HA-NA",6,3
"498","A_Niigata_13F335_2014","NS-PA",6,3
"499","A_Niigata_13F335_2014","NS-PB2",6,3
"500","A_North_Carolina_06_2015","HA-M",6,3
"501","A_North_Carolina_06_2015","HA-NA",6,3
"502","A_North_Carolina_06_2015","HA-PB1",6,3
"503","A_North_Carolina_06_2015","HA-PB2",6,3
"504","A_North_Carolina_06_2015","M-NP",6,5
"505","A_North_Carolina_06_2015","M-NS",6,3
"506","A_North_Carolina_06_2015","M-PA",6,3
"507","A_North_Carolina_06_2015","M-PB1",6,3
"508","A_North_Carolina_06_2015","NA-NP",6,6
"509","A_North_Carolina_06_2015","NA-PA",6,3
"510","A_North_Carolina_06_2015","NA-PB1",6,3
"511","A_North_Carolina_06_2015","NP-PB2",6,6
"512","A_North_Carolina_06_2015","NS-PB1",6,3
"513","A_North_Carolina_06_2015","NS-PB2",6,3
"514","A_North_Carolina_06_2015","PA-PB2",6,3
"515","A_North_Carolina_06_2015","PB1-PB2",6,3
"516","A_North_Carolina_27_2017","HA-M",6,4
"517","A_North_Carolina_27_2017","HA-NP",6,3
"518","A_North_Carolina_27_2017","HA-NS",6,3
"519","A_North_Carolina_27_2017","HA-PA",6,10
"520","A_North_Carolina_27_2017","HA-PB1",6,5
"521","A_North_Carolina_27_2017","HA-PB2",6,5
"522","A_North_Carolina_27_2017","M-NA",6,4
"523","A_North_Carolina_27_2017","M-PA",6,3
"524","A_North_Carolina_27_2017","M-PB2",6,3
"525","A_North_Carolina_27_2017","NA-NS",6,3
"526","A_North_Carolina_27_2017","NA-PA",6,5
"527","A_North_Carolina_27_2017","NA-PB1",6,9
"528","A_North_Carolina_27_2017","NA-PB2",6,3
"529","A_Oregon_14_2017","HA-NP",6,3
"530","A_Oregon_14_2017","HA-NS",6,3
"531","A_Oregon_14_2017","HA-PA",6,9
"532","A_Oregon_14_2017","HA-PB1",6,6
"533","A_Oregon_14_2017","HA-PB2",6,4
"534","A_Oregon_14_2017","NA-NS",6,3
"535","A_Oregon_14_2017","NA-PA",6,6
"536","A_Oregon_14_2017","NA-PB1",6,3
"537","A_Oregon_14_2017","NA-PB2",6,6
"538","A_Pennsylvania_49_2014","HA-M",6,3
"539","A_Pennsylvania_49_2014","HA-NA",6,6
"540","A_Pennsylvania_49_2014","HA-NP",6,3
"541","A_Pennsylvania_49_2014","HA-NS",6,6
"542","A_Pennsylvania_49_2014","HA-PA",6,3
"543","A_Pennsylvania_49_2014","HA-PB1",6,4
"544","A_Pennsylvania_49_2014","HA-PB2",6,3
"545","A_Pennsylvania_49_2014","M-PB2",6,5
"546","A_Pennsylvania_49_2014","NA-PB2",6,8
"547","A_Pennsylvania_49_2014","NP-PB2",6,9
"548","A_Pennsylvania_49_2014","NS-PB2",6,12
