ID,Strain,GenePair
443,A/Netherlands/363/2006,HA-PB1
444,A/Netherlands/363/2006,M-PA
445,A/Netherlands/363/2006,PA-PB1
446,A/Nevada/12/2017,NS-PB1
447,A/Nevada/12/2017,PA-PB1
448,A/New/Jersey/07/2017,HA-PB1
449,A/New/Jersey/07/2017,NA-PA
450,A/New/Jersey/07/2017,NA-PB1
451,A/New/Jersey/07/2017,NA-PB2
452,A/New York/1001/2005,HA-PB2
453,A/New York/1028/2006,HA-NA
454,A/New York/1028/2006,HA-NP
455,A/New York/1028/2006,HA-PA
456,A/New York/1028/2006,HA-PB1
457,A/New York/1028/2006,HA-PB2
458,A/New York/1028/2006,M-NA
459,A/New York/1028/2006,M-PA
460,A/New York/1028/2006,M-PB1
461,A/New York/1028/2006,NA-PA
462,A/New York/1028/2006,NA-PB2
463,A/New York/13/2003,PA-PB1
464,A/New York/18/2003,PA-PB1
465,A/New York/272/2003,PA-PB1
466,A/New York/30/2003,HA-NA
467,A/New York/30/2003,HA-PA
468,A/New York/30/2003,M-PA
469,A/New York/30/2003,NA-NP
470,A/New York/30/2003,NA-PA
471,A/New York/30/2003,NA-PB1
472,A/New York/30/2003,NA-PB2
473,A/New York/30/2003,NP-PA
474,A/New York/30/2003,NS-PA
475,A/New York/30/2003,PA-PB1
476,A/New York/30/2003,PA-PB2
477,A/New York/33/2004,PA-PB1
478,A/New York/35/2003,PA-PB1
479,A/New York/366/2004,HA-NA
480,A/New York/372/2004,HA-NA
481,A/New York/373/2005,HA-NA
482,A/New York/373/2005,M-NA
483,A/New York/373/2005,NA-PA
484,A/New York/373/2005,NA-PB2
485,A/New York/37/2003,PA-PB1
486,A/New York/4/2003,HA-NA
487,A/New York/4/2003,HA-PA
488,A/New York/4/2003,M-PA
489,A/New York/4/2003,NA-NP
490,A/New York/4/2003,NA-PB1
491,A/New York/4/2003,NA-PB2
492,A/New York/4/2003,NP-PA
493,A/New York/4/2003,NS-PA
494,A/New York/4/2003,PA-PB1
495,A/New York/4/2003,PA-PB2
496,A/New York/54/2003,PA-PB1
497,A/New York/900/2004,HA-NA
498,A/Niigata/13F335/2014,NS-PA
499,A/Niigata/13F335/2014,NS-PB2
500,A/North Carolina/06/2015,HA-M
501,A/North Carolina/06/2015,HA-NA
502,A/North Carolina/06/2015,HA-PB1
503,A/North Carolina/06/2015,HA-PB2
504,A/North Carolina/06/2015,M-NP
505,A/North Carolina/06/2015,M-NS
506,A/North Carolina/06/2015,M-PA
507,A/North Carolina/06/2015,M-PB1
508,A/North Carolina/06/2015,NA-NP
509,A/North Carolina/06/2015,NA-PA
510,A/North Carolina/06/2015,NA-PB1
511,A/North Carolina/06/2015,NP-PB2
512,A/North Carolina/06/2015,NS-PB1
513,A/North Carolina/06/2015,NS-PB2
514,A/North Carolina/06/2015,PA-PB2
