"","Taxa","sum","HA-M","HA-NA","HA-NP","HA-NS","HA-PA","HA-PB1","HA-PB2","M-NA","M-NP","M-NS","M-PA","M-PB1","M-PB2","NA-NP","NA-NS","NA-PA","NA-PB1","NA-PB2","NP-NS","NP-PA","NP-PB1","NP-PB2","NS-PA","NS-PB1","NS-PB2","PA-PB1","PA-PB2","PB1-PB2"
"139","A_Shanghai_7_2016",6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"140","A_South_Carolina_NHRC0002_2003",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"141","A_Taipei_0011_2015",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","A_Tennessee_F2031A_2011",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","A_Texas_136_2016",6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"144","A_Texas_47_2017",6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","A_Vermont_08_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA
"146","A_Washington_55_2016",6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"147","A_Washington_60_2014",6,4,6,NA,NA,NA,3,3,NA,NA,6,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,4,NA,3,6,NA,3,6
"148","A_Yucatan_844_2003",6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
